rank,calcTime,waitTime,commTime
0,0.824172,104.459228,0.111175
1,5.520548,99.763341,0.015987
2,34.281864,71.001933,0.024628
3,58.868919,46.414938,0.035129
4,105.283648,0.000136,0.043654
5,74.836979,30.446883,0.056611
6,1.241128,104.042655,0.065021
7,0.803758,104.480074,0.079537
8,0.685165,104.598618,0.087838
9,0.531178,104.752675,0.111074
